Date_Consumption,Part,Consumption
2020/01/01,滑輪,12
2020/01/01,齒輪,8
2020/01/01,軸承,2
2020/01/01,接頭,14
2020/01/01,線圈,12
2020/01/01,電纜,13
2020/01/01,活塞,6
2020/01/01,油封,15
2020/01/01,油泵,4
2020/01/01,油壓閥,20
2020/01/01,油箱,11
2020/01/01,油缸,5
2020/01/01,油管,10
2020/01/01,油濾,19
2020/01/01,油底壓力表,8
2020/01/01,油溫計,12
2020/01/01,油水分離器,3
2020/01/01,油漆,7
2020/01/01,油燃料混合器,15
2020/01/01,油槽,4
2020/02/01,滑輪,9
2020/02/01,齒輪,16
2020/02/01,軸承,12
2020/02/01,接頭,9
2020/02/01,線圈,13
2020/02/01,電纜,6
2020/02/01,活塞,1
2020/02/01,油封,2
2020/02/01,油泵,2
2020/02/01,油壓閥,17
2020/02/01,油箱,15
2020/02/01,油缸,10
2020/02/01,油管,10
2020/02/01,油濾,16
2020/02/01,油底壓力表,7
2020/02/01,油溫計,5
2020/02/01,油水分離器,5
2020/02/01,油漆,4
2020/02/01,油燃料混合器,13
2020/02/01,油槽,14
2020/03/01,滑輪,17
2020/03/01,齒輪,2
2020/03/01,軸承,1
2020/03/01,接頭,4
2020/03/01,線圈,12
2020/03/01,電纜,8
2020/03/01,活塞,12
2020/03/01,油封,9
2020/03/01,油泵,16
2020/03/01,油壓閥,0
2020/03/01,油箱,1
2020/03/01,油缸,15
2020/03/01,油管,0
2020/03/01,油濾,2
2020/03/01,油底壓力表,10
2020/03/01,油溫計,9
2020/03/01,油水分離器,6
2020/03/01,油漆,3
2020/03/01,油燃料混合器,5
2020/03/01,油槽,3
2020/04/01,滑輪,3
2020/04/01,齒輪,9
2020/04/01,軸承,7
2020/04/01,接頭,10
2020/04/01,線圈,21
2020/04/01,電纜,10
2020/04/01,活塞,15
2020/04/01,油封,2
2020/04/01,油泵,9
2020/04/01,油壓閥,13
2020/04/01,油箱,4
2020/04/01,油缸,7
2020/04/01,油管,6
2020/04/01,油濾,3
2020/04/01,油底壓力表,2
2020/04/01,油溫計,11
2020/04/01,油水分離器,4
2020/04/01,油漆,11
2020/04/01,油燃料混合器,4
2020/04/01,油槽,6
2020/05/01,滑輪,11
2020/05/01,齒輪,10
2020/05/01,軸承,14
2020/05/01,接頭,13
2020/05/01,線圈,5
2020/05/01,電纜,11
2020/05/01,活塞,12
2020/05/01,油封,7
2020/05/01,油泵,4
2020/05/01,油壓閥,10
2020/05/01,油箱,4
2020/05/01,油缸,18
2020/05/01,油管,12
2020/05/01,油濾,15
2020/05/01,油底壓力表,18
2020/05/01,油溫計,12
2020/05/01,油水分離器,5
2020/05/01,油漆,17
2020/05/01,油燃料混合器,9
2020/05/01,油槽,4
2020/06/01,滑輪,1
2020/06/01,齒輪,13
2020/06/01,軸承,9
2020/06/01,接頭,7
2020/06/01,線圈,25
2020/06/01,電纜,11
2020/06/01,活塞,19
2020/06/01,油封,11
2020/06/01,油泵,5
2020/06/01,油壓閥,7
2020/06/01,油箱,8
2020/06/01,油缸,5
2020/06/01,油管,11
2020/06/01,油濾,5
2020/06/01,油底壓力表,12
2020/06/01,油溫計,8
2020/06/01,油水分離器,13
2020/06/01,油漆,6
2020/06/01,油燃料混合器,13
2020/06/01,油槽,12
2020/07/01,滑輪,3
2020/07/01,齒輪,12
2020/07/01,軸承,7
2020/07/01,接頭,9
2020/07/01,線圈,9
2020/07/01,電纜,14
2020/07/01,活塞,3
2020/07/01,油封,14
2020/07/01,油泵,11
2020/07/01,油壓閥,18
2020/07/01,油箱,14
2020/07/01,油缸,21
2020/07/01,油管,17
2020/07/01,油濾,13
2020/07/01,油底壓力表,16
2020/07/01,油溫計,10
2020/07/01,油水分離器,7
2020/07/01,油漆,7
2020/07/01,油燃料混合器,19
2020/07/01,油槽,3
2020/08/01,滑輪,7
2020/08/01,齒輪,14
2020/08/01,軸承,0
2020/08/01,接頭,10
2020/08/01,線圈,10
2020/08/01,電纜,7
2020/08/01,活塞,7
2020/08/01,油封,7
2020/08/01,油泵,6
2020/08/01,油壓閥,13
2020/08/01,油箱,4
2020/08/01,油缸,11
2020/08/01,油管,15
2020/08/01,油濾,6
2020/08/01,油底壓力表,6
2020/08/01,油溫計,12
2020/08/01,油水分離器,6
2020/08/01,油漆,2
2020/08/01,油燃料混合器,5
2020/08/01,油槽,10
2020/09/01,滑輪,12
2020/09/01,齒輪,8
2020/09/01,軸承,10
2020/09/01,接頭,9
2020/09/01,線圈,10
2020/09/01,電纜,7
2020/09/01,活塞,9
2020/09/01,油封,14
2020/09/01,油泵,11
2020/09/01,油壓閥,5
2020/09/01,油箱,1
2020/09/01,油缸,8
2020/09/01,油管,4
2020/09/01,油濾,8
2020/09/01,油底壓力表,5
2020/09/01,油溫計,24
