id,date,time,datetime,provice,city
0,2022-12-01,22:45,2022-12-01 22:45,北京,北京市
1,2022-12-01,13:47,2022-12-01 13:47,江苏,苏州市
2,2022-12-01,10:39,2022-12-01 10:39,江苏,扬州市
3,2022-12-01,10:40,2022-12-01 10:40,江苏,淮安市(原淮阴市）
4,2022-12-01,15:43,2022-12-01 15:43,上海,上海市
5,2022-12-01,10:16,2022-12-01 10:16,深圳,深圳
6,2022-12-01,11:42,2022-12-01 11:42,江苏,南通市
7,2022-12-01,14:18,2022-12-01 14:18,山东,德州市
8,2022-12-01,22:55,2022-12-01 22:55,深圳,深圳
9,2022-12-01,17:37,2022-12-01 17:37,上海,上海市
10,2022-12-01,23:57,2022-12-01 23:57,北京,北京市
11,2022-12-01,12:44,2022-12-01 12:44,广州,广州
12,2022-12-01,19:07,2022-12-01 19:07,广州,广州
13,2022-12-01,20:48,2022-12-01 20:48,上海,上海市
14,2022-12-01,23:28,2022-12-01 23:28,浙江,温州市
15,2022-12-01,10:01,2022-12-01 10:01,广州,广州
16,2022-12-01,23:43,2022-12-01 23:43,浙江,杭州市
17,2022-12-01,08:59,2022-12-01 08:59,江苏,无锡市
18,2022-12-01,23:47,2022-12-01 23:47,浙江,丽水市
19,2022-12-01,20:10,2022-12-01 20:10,北京,北京市
20,2022-12-01,21:50,2022-12-01 21:50,广州,广州
21,2022-12-01,20:53,2022-12-01 20:53,上海,上海市
22,2022-12-01,10:14,2022-12-01 10:14,深圳,深圳
23,2022-12-01,16:59,2022-12-01 16:59,浙江,杭州市
24,2022-12-01,21:21,2022-12-01 21:21,江苏,苏州市
25,2022-12-01,06:32,2022-12-01 06:32,北京,北京市
26,2022-12-01,21:11,2022-12-01 21:11,江苏,徐州市
27,2022-12-01,21:58,2022-12-01 21:58,上海,上海市
28,2022-12-01,22:22,2022-12-01 22:22,北京,北京市
29,2022-12-01,08:58,2022-12-01 08:58,上海,上海市
30,2022-12-01,22:27,2022-12-01 22:27,上海,上海市
31,2022-12-01,03:12,2022-12-01 03:12,浙江,衢州市
32,2022-12-01,10:18,2022-12-01 10:18,江苏,连云港市
33,2022-12-01,18:15,2022-12-01 18:15,山东,东营市
34,2022-12-01,07:36,2022-12-01 07:36,浙江,舟山市
35,2022-12-01,22:51,2022-12-01 22:51,江苏,宿迁市
